Assets Type,InstanceID,Path,Tag,Description,bbox_min_meters,bbox_max_meters
IndustrialPart,IndustrialPart.a.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/banyuan.usd,DNA:D_{J}(a),"Functional Features:This object is a Woodruff key model. Functionally, it is a standard connecting component in mechanical transmission systems, mainly used for circumferential fixation between shafts and hubs to transmit torque and prevent relative rotation. It is suitable for shaft-hub connections in machine tools, automobiles, and general machinery. With a simple structure and easy installation, it can withstand medium loads and is a commonly used positioning and force-transmitting element in mechanical transmission. 
Visual Features: Visually, the model is light gray overall, with a standard Woodruff key profile, featuring curved sides and a flat top with smooth edge transitions. The surface has a matte mockup texture without additional textures or details, presenting a neat and concise form.","(-0.15716230392456054, -0.06498075008392334, -0.05)","(0.15716230392456054, 0.06498075008392334, 0.05)"
IndustrialPart,IndustrialPart.b.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/banyuanjian.usd,DNA:D_{J}(b),"Functional Features:This object is a Woodruff key model. Functionally, it is a standard connecting component in mechanical transmission systems, mainly used for circumferential fixation between shafts and hubs to transmit torque and prevent relative rotation. It is suitable for shaft-hub connections in machine tools, automobiles, and general machinery. With a simple structure and easy installation, it can withstand medium loads and is a commonly used positioning and force-transmitting element in mechanical transmission. 
Visual Features: Visually, the model is light gray overall, with a standard Woodruff key profile, featuring curved sides and a flat top with smooth edge transitions. The surface has a matte mockup texture without additional textures or details, presenting a neat and concise form.","(-0.1907878112792969, -0.07, -0.05)","(0.1907878112792969, 0.07, 0.05)"
IndustrialPart,IndustrialPart.c.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/hua.usd,DNA:D_{J}(c),"Functional Features:This object is a spline hub model. Functionally, it is a core connecting component in mechanical transmission, achieving circumferential fixation between shafts and hubs via external splines to transmit high torque while providing centering and guiding functions. It is suitable for power transmission scenarios in automobiles, machine tools, and construction machinery. Compared with flat key connections, it features higher load capacity and coaxiality, ideal for heavy-duty or sliding transmission structures.
Visual Features: Visually, the model is light gray as a standard mockup, with a circular main body and evenly distributed rectangular splines on the periphery. The surface is smooth without texture details, presenting a neat geometric form with clear edge transitions.","(-0.17759679794311523, -0.17997480392456056, -0.05700000286102295)","(0.17759679794311523, 0.17997480392456056, 0.05700000286102295)"
IndustrialPart,IndustrialPart.d.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/huajian.usd,DNA:D_{J}(d),"Functional Features:This object is a spline hub model. Functionally, it is a core connecting component in mechanical transmission, achieving circumferential fixation between shafts and hubs via external splines to transmit high torque while providing centering and guiding functions. It is suitable for power transmission scenarios in automobiles, machine tools, and construction machinery. Compared with flat key connections, it features higher load capacity and coaxiality, ideal for heavy-duty or sliding transmission structures.
Visual Features: Visually, the model is light gray as a standard mockup, with a circular main body and evenly distributed rectangular splines on the periphery. The surface is smooth without texture details, presenting a neat geometric form with clear edge transitions.","(-0.12454450607299805, -0.1299709129333496, -0.05)","(0.12454450607299805, 0.1299709129333496, 0.05)"
IndustrialPart,IndustrialPart.e.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/ping.usd,DNA:D_{J}(e),"Functional Features:This object is a flat key model. Functionally, it is one of the most basic standard connecting components in mechanical transmission systems, used for circumferential fixation between shafts and hubs to transmit torque and prevent relative rotation. It is widely applied in shaft-hub connections of machine tools, automobiles, and general machinery. With a simple structure, easy installation, and low cost, it meets the transmission needs of small and medium loads, making it one of the most commonly used positioning and force-transmitting elements in mechanical transmission. 
Visual Features: Visually, the model is light gray as a standard mockup, with a long prismatic main body, one end square and the other rounded. The surface is smooth without texture details, presenting a neat geometric form with clear edge transitions.","(-0.19999719619750977, -0.01800000071525574, -0.006000000238418579)","(0.19999719619750977, 0.01800000071525574, 0.006000000238418579)"
IndustrialPart,IndustrialPart.f.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/pingjian.usd,DNA:D_{J}(f),"Functional Features:This object is a flat key model. Functionally, it is one of the most basic standard connecting components in mechanical transmission systems, used for circumferential fixation between shafts and hubs to transmit torque and prevent relative rotation. It is widely applied in shaft-hub connections of machine tools, automobiles, and general machinery. With a simple structure, easy installation, and low cost, it meets the transmission needs of small and medium loads, making it one of the most commonly used positioning and force-transmitting elements in mechanical transmission. 
Visual Features: Visually, the model is light gray as a standard mockup, with a long prismatic main body, one end square and the other rounded. The surface is smooth without texture details, presenting a neat geometric form with clear edge transitions.","(-0.125, -0.04, -0.035)","(0.125, 0.04, 0.035)"
IndustrialPart,IndustrialPart.g.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/qiexiang.usd,DNA:D_{J}(g),"Functional Features:This object is a tangent key model. Functionally, it is a shaft-hub connecting component for heavy-load conditions in mechanical transmission, relying on wedge action of inclined surfaces to transmit large torque and achieve both circumferential and axial fixation. It is widely used in transmission connections of heavy machinery, mining equipment, and large rolling mills. Compared with flat keys, it has higher load capacity, suitable for heavy-load conditions with impact loads or bidirectional transmission needs. 
Visual Features: Visually, the model is light gray as a standard mockup, with a short prismatic main body with slightly rounded edges. The surface is smooth without texture details, presenting a neat geometric form.","(-0.05, -0.07525000095367432, -0.05)","(0.05, 0.07525000095367432, 0.05)"
IndustrialPart,IndustrialPart.h.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/qiexiangjian.usd,DNA:D_{J}(h),"Functional Features:This object is a tangent key model. Functionally, it is a shaft-hub connecting component for heavy-load conditions in mechanical transmission, relying on wedge action of inclined surfaces to transmit large torque and achieve both circumferential and axial fixation. It is widely used in transmission connections of heavy machinery, mining equipment, and large rolling mills. Compared with flat keys, it has higher load capacity, suitable for heavy-load conditions with impact loads or bidirectional transmission needs. 
Visual Features: Visually, the model is light gray as a standard mockup, with a short prismatic main body with slightly rounded edges. The surface is smooth without texture details, presenting a neat geometric form.","(-0.5, -0.050750079154968264, -0.035)","(0.5, 0.050750079154968264, 0.035)"
IndustrialPart,IndustrialPart.i.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/xie.usd,DNA:D_{J}(i),"Functional Features:This object is a taper key model. Functionally, it is a connecting component with both circumferential and axial fixing functions in mechanical transmission. It achieves bidirectional positioning between the shaft and hub through wedge action, transmitting torque while withstanding axial loads. Widely used in heavy-duty equipment with impact loads (such as mining machinery and heavy machine tools), it features a simple structure and strong self-locking property, suitable for fixed connections that do not require frequent disassembly.
Visual Features: Visually, the model is light gray as a standard mockup, with a tapered long prismatic main body, one end square and the other rounded. The surface is smooth without texture details, with soft edge transitions and a neat, concise form.","(-0.24999900817871093, -0.05, -0.025)","(0.24999900817871093, 0.05, 0.025)"
IndustrialPart,IndustrialPart.j.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Part/xiejian.usd,DNA:D_{J}(j),"Functional Features:This object is a taper key model. Functionally, it is a connecting component with both circumferential and axial fixing functions in mechanical transmission. It achieves bidirectional positioning between the shaft and hub through wedge action, transmitting torque while withstanding axial loads. Widely used in heavy-duty equipment with impact loads (such as mining machinery and heavy machine tools), it features a simple structure and strong self-locking property, suitable for fixed connections that do not require frequent disassembly.
Visual Features: Visually, the model is light gray as a standard mockup, with a tapered long prismatic main body, one end square and the other rounded. The surface is smooth without texture details, with soft edge transitions and a neat, concise form.","(-0.09, -0.035, -0.02)","(0.09, 0.035, 0.02)"
